date,retail_category,distributed_qty,avg_temperature,precipitation,is_holiday
2024-03-28,0,24.5,15.497843137254902,2.080952941176471,0
2024-03-28,1,1587.8799999999999,16.503840361445782,2.503295180722892,0
2024-03-28,2,250.87,15.659144736842105,1.645572807017544,0
2024-03-28,3,7.9,17.185945945945946,2.8479972972972973,0
2024-03-28,4,23.1,15.775799999999998,2.023136,0
2024-03-28,5,1.1,15.993333333333334,1.4614666666666667,0
2024-03-28,6,31.6,16.2065,2.42579375,0
2024-03-28,7,277.7,19.034216101694913,3.528476271186441,0
2024-03-28,8,36.0,16.875,2.8414848484848485,0
2024-03-28,9,99.4,16.470555555555556,2.3507098765432097,0
2024-03-28,10,347.88,16.523375,2.294929285714286,0
2024-03-28,11,48.11,15.709383561643836,2.1108609589041096,0
2024-03-28,12,0.7,16.12,2.0707,0
2024-03-28,13,7.57,16.926875,2.1308375,0
2024-03-28,14,2.33,14.665217391304349,0.019243478260869563,0
2024-03-28,15,35.04,16.57385964912281,3.011178947368421,0
2024-03-28,16,158.04,15.77952380952381,2.029584126984127,0
2024-03-28,17,93.1,16.02451263537906,2.2051552346570396,0
2024-03-28,18,32.8,15.659024390243902,1.5550378048780487,0
2024-03-28,19,566.478,16.753333333333334,2.4951087719298246,0
2024-03-28,20,1.2,24.305,3.36815,0
2024-03-28,21,0.8,24.246666666666666,3.173,0
2024-03-28,22,8.4,15.622432432432431,2.1398351351351352,0
2024-03-28,23,0.0,15.9,1.6998,0
2024-03-28,24,1293.58,16.20068493150685,2.0707545662100455,0
2024-03-28,25,1.5,18.1,2.72305,0
2024-03-28,26,30.37,16.310000000000002,2.8732959459459457,0
2024-03-28,27,13.5,15.759411764705884,2.1914338235294117,0
2024-03-28,28,0.7,15.15,3.0558500000000004,0
2024-03-28,29,3.4,15.670000000000002,1.610725,0
2024-03-28,30,2.6,17.145,3.7310499999999998,0
2024-03-28,31,0.5,15.63,1.3431,0
2024-03-28,32,0.30000000000000004,16.055,2.7109,0
2024-03-28,33,0.7,16.84,4.730833333333333,0
2024-03-28,34,0.9,18.25,4.6277,0
2024-03-28,35,2.0,18.14,6.0873,0
2024-03-28,36,3.0999999999999996,17.105,4.83975,0
2024-03-28,37,0.30000000000000004,15.495000000000001,2.63385,0
2024-03-28,38,6.2,16.22047619047619,2.032804761904762,0
2024-03-28,39,3.8,15.377500000000001,3.1424250000000002,0
2024-03-28,40,1.6,15.854999999999999,1.6998833333333332,0
2024-03-28,41,19.54,16.335510204081633,2.6228673469387753,0
2024-03-28,42,138.65,16.07427450980392,2.3052592156862746,0
2024-03-28,43,0.6,16.259999999999998,1.6127,0
2024-03-28,44,3.2,15.5264,2.314512,0
2024-03-28,45,0.1,15.47,1.7008,0
2024-03-28,46,79.6,16.06448051948052,2.4831766233766235,0
2024-03-28,47,0.6000000000000001,18.777142857142856,3.521492857142857,0
2024-03-28,48,19.6,16.492222222222225,2.6186166666666666,0
2024-03-28,49,8.91,17.960285714285714,2.6723114285714287,0
2024-03-28,50,8.22,16.75375,3.51394375,0
2024-03-28,51,72.05,16.571206896551722,2.5475132183908045,0
2024-03-28,52,126.82000000000001,15.877513513513515,1.7436427027027026,0
2024-03-28,53,0.2,15.04,3.5592,0
2024-03-28,54,2.19,16.138571428571428,2.118257142857143,0
2024-03-28,55,31.169999999999998,21.834,3.6937775000000004,0
2024-03-28,56,110.5,15.704295532646048,2.0084326460481097,0
2024-03-28,57,1.4,14.493333333333334,0.033813333333333334,0
2024-03-28,58,310.39,15.740121580547113,1.791812613981763,0
2024-03-28,59,233.72,15.762469512195123,2.0482271341463414,0
2024-03-28,60,1892.2,16.852132206759443,2.5911218190854868,0
2024-03-28,61,16.0,16.677666666666667,2.8104099999999996,0
2024-03-28,62,0.3,15.350000000000001,0.8571,0
2024-03-28,63,349.38,16.014983606557376,2.1650429508196725,0
2024-03-28,64,1.6,24.165,2.4541,0
2024-03-28,65,345.019,16.63812712826334,2.599258569807038,0
2024-03-28,66,247.8,15.942774869109948,1.9886439790575916,0
2024-03-28,67,73.6,16.69687203791469,2.42198672985782,0
2024-03-28,68,23.7,15.731071428571429,1.1924821428571428,0
2024-03-28,69,6.9,14.981818181818182,0.8097545454545454,0
2024-03-28,70,0.6,24.58,3.8925,0
2024-03-28,71,42.8,16.15385185185185,2.454705185185185,0
2024-03-28,72,336.8,20.45936329588015,3.6095337078651686,0
2024-03-28,73,6.0,15.97037037037037,2.952614814814815,0
2024-03-28,74,177.0,16.734293193717278,2.6843277486910995,0
2024-03-28,75,28.1,14.716000000000001,0.016557142857142857,0
2024-03-28,76,22.8,17.27886075949367,3.1055202531645567,0
2024-03-28,77,982.89,16.377031611410946,2.6196807247494216,0
2024-03-28,78,255.46,17.141454545454543,2.7712763636363635,0
2024-03-28,79,2.6,16.85969696969697,3.2980969696969695,0
2024-03-28,80,5.1000000000000005,16.416428571428572,2.988035714285714,0
2024-03-28,81,2068.19,16.119230769230768,2.208015053050398,0
2024-03-28,82,484.5,17.567168367346937,2.747363775510204,0
2024-03-28,83,117.89,16.25109523809524,2.163949523809524,0
2024-03-28,84,0.4,16.855,3.2839,0
2024-03-28,85,1.8,24.285714285714285,5.0947000000000005,0
2024-03-28,86,270.86,17.086650793650794,2.811866666666667,0
2024-03-28,87,0.7000000000000001,15.486666666666666,2.888933333333333,0
2024-03-28,88,112.0,17.302142857142858,3.0535079365079367,0
2024-03-28,89,72.92,16.29546875,2.1323921875,0
2024-03-28,90,0.85,15.89,2.342142857142857,0
2024-03-28,91,0.3,15.71,1.7008,0
2024-03-28,92,8.76,24.414583333333336,5.296437500000001,0
2024-03-28,93,45.89,15.715483870967741,1.8640021505376345,0
2024-03-28,94,574.28,17.601674311926605,2.7422115825688076,0
2024-03-28,95,41.28,17.24013157894737,3.013911842105263,0
2024-03-28,96,132.65,15.840539682539683,2.084287619047619,0
2024-03-28,97,205.58,15.749299363057323,1.9122289808917197,0
2024-03-28,98,366.93,17.905112676056337,2.977066901408451,0
2024-03-28,99,215.22,17.945379146919432,3.023454028436019,0
2024-03-28,100,260.32,19.387223427331886,3.064027548806941,0
2024-03-28,101,394.95,16.340162601626016,2.5136723577235776,0
2024-03-28,102,2.76,16.39,1.873625,0
2024-03-28,103,827.65,16.565404224326294,2.359282155863074,0
2024-03-28,104,651.68,16.4781625,2.116909375,0
2024-03-28,105,434.58,17.653777239709445,2.5068915254237285,0
2024-03-28,106,91.75,17.630187969924812,2.631514661654135,0
